-144,-98.38,-52.76,-7.13,-71.99,-84.86,-99.43,-58.67,-78.18,-99.26,-138.14,-103.75,-152.9,-133.71,-103.38,-73.05,-130.64,-119.36,-92.86,-183.47,-160.92,-138.37,-115.81,-93.26,-70.7,-48.15,-25.6,-3.04,19.51,42.07,64.62,53.23,-102.86,-85.77,-157.56,-141.61,-125.66,-109.7,-139.76,-125.12,-110.48,-95.84,-81.2,-66.57,-51.93,-37.29,-22.65,-8.01,6.62,21.26
-132,-89.99,-47.97,-5.96,36.06,-35.03,-52.68,-71.92,-34.77,2.39,-21.64,14.4,50.43,0.15,-77.64,-49.61,-21.58,-84.1,-76.33,-52.12,-27.92,-3.72,20.49,44.69,68.9,93.1,117.3,141.51,165.71,189.92,214.12,238.32,262.53,105.08,125.05,54.98,73.81,92.64,111.46,82.97,100.48,117.99,135.5,153.02,170.53,188.04,205.55,223.06,240.58,258.09
-124,-84.11,-44.23,-58.42,-19.89,18.64,-0.4,-21.36,14.74,50.83,86.92,60.71,95.69,130.66,76.52,-7.54,19.42,46.39,-19.81,-14.3,8.84,31.98,55.12,78.27,101.41,124.55,147.69,170.83,193.98,217.12,240.26,263.4,286.54,309.69,146.94,165.85,93.58,111.34,129.11,146.87,116,132.45,148.9,165.35,181.8,198.25,214.7,231.15,247.6,264.05
-112,-75.65,-39.29,-2.94,-22.02,12.98,47.98,24.14,-1.52,31.04,63.6,96.16,128.72,161.28,193.84,134.49,42.8,67.35,91.9,20.67,22.56,43.29,64.02,84.74,105.47,126.2,146.93,167.66,188.38,209.11,229.84,250.57,271.3,292.02,312.75,143.36,159.86,84.02,99.38,114.73,130.08,95.48,109.51,123.55,137.58,151.62,165.66,179.69,193.73,207.76
-108,-73.18,-38.37,-3.55,31.26,9.29,42.75,76.21,49.57,21.2,52.22,83.24,114.26,145.29,176.31,207.33,143.65,45.2,68.22,91.23,15.84,14.99,34.18,53.37,72.56,91.75,110.94,130.13,149.32,168.51,187.7,206.89,226.08,245.27,264.46,283.65,159.86,176.35,99.38,114.73,130.08,145.43,109.51,123.55,137.58,151.62,165.66,179.69,193.73,207.76
-92,-61.74,-31.48,-1.23,29.03,59.29,31.4,60.3,89.2,56.74,22.64,49.1,75.57,102.03,128.5,154.96,181.42,110.39,2.17,20.63,39.08,-43.49,-50.1,-35.46,-20.83,-6.2,8.43,23.06,37.7,52.33,66.96,81.59,96.22,110.86,125.49,140.12,154.75,77.8,91.3,10.2,22.56,34.92,47.29,7.06,18.11,29.16,40.21,51.26,62.3,73.35
-80,-53.03,-26.07,0.9,27.86,54.83,81.8,49.26,74.86,100.47,63.46,24.89,48.06,71.24,94.41,117.58,140.75,163.92,86.8,-9.94,6.48,22.9,10.86,2.16,15.9,29.65,43.4,57.14,70.89,84.63,98.38,112.13,125.87,139.62,153.36,167.11,180.86,194.6,115.64,128.26,45.12,56.6,68.08,79.55,37.13,47.29,57.45,67.61,77.78,87.94
-64,-43.93,-23.86,-3.79,16.28,36.35,56.42,16.98,35.7,54.41,73.12,-34.96,-18.69,-2.41,13.86,30.14,46.42,62.69,78.97,95.24,-9.56,2.76,15.08,-2.54,8.3,19.15,30,40.84,51.69,62.53,73.38,84.23,95.07,105.92,116.76,127.61,138.46,149.3,160.15,77.16,86.88,96.6,106.32,116.05,125.77,80.27,88.68,97.08,105.49,113.89
-52,-35.81,-19.62,-3.44,12.75,28.94,45.13,61.32,16.64,31.47,46.3,61.13,11.87,25.53,39.18,52.84,66.5,80.15,93.81,107.46,121.12,29.77,40.61,51.46,62.3,73.15,84,94.84,105.69,116.53,127.38,138.23,149.07,159.92,170.76,181.61,192.46,203.3,214.15,224.99,140.88,150.6,160.32,170.05,179.77,189.49,142.68,151.08,159.49,167.89
-40,-27.08,-14.16,-1.24,11.68,24.6,37.52,50.44,63.36,14.06,25.62,37.18,48.74,60.31,71.87,83.43,94.99,106.55,118.12,129.68,141.24,152.8,56.54,65.3,74.05,82.8,91.55,100.3,109.06,117.81,126.56,135.31,144.06,152.82,161.57,170.32,179.07,187.82,196.58,205.33,214.08,222.83,231.58,240.34,249.09,257.84,266.59,217.49,224.93,232.36
-28,-19.16,-10.32,-1.49,7.35,16.19,25.03,33.87,42.7,51.54,60.38,69.22,78.06,86.89,95.73,104.57,113.41,122.25,131.08,139.92,148.76,157.6,166.44,64.64,70.67,76.7,82.73,88.76,94.78,100.81,106.84,112.87,118.9,124.92,130.95,136.98,143.01,149.04,155.06,161.09,167.12,173.15,179.18,185.2,191.23,197.26,203.29,209.32,156.18,160.89
-24,-16.74,-9.47,-2.21,5.06,12.32,19.58,26.85,34.11,41.38,48.64,55.9,63.17,70.43,77.7,84.96,92.22,99.49,106.75,114.02,121.28,128.54,135.81,143.07,150.34,157.6,164.86,172.13,179.39,186.66,193.92,201.18,208.45,215.71,222.98,230.24,237.5,244.77,252.03,259.3,167.12,173.15,179.18,185.2,191.23,197.26,203.29,209.32,215.34,160.89
-20,-13.65,-7.3,-0.94,5.41,11.76,18.11,24.46,30.82,37.17,43.52,49.87,56.22,62.58,68.93,75.28,81.63,87.98,94.34,100.69,107.04,113.39,119.74,126.1,132.45,138.8,145.15,151.5,157.86,164.21,170.56,176.91,183.26,189.62,195.97,202.32,208.67,215.02,221.38,227.73,234.08,139.76,144.87,149.99,155.1,160.22,165.34,170.45,175.57,180.68
-20,-13.65,-7.3,-0.94,5.41,11.76,18.11,24.46,30.82,37.17,43.52,49.87,56.22,62.58,68.93,75.28,81.63,87.98,94.34,100.69,107.04,113.39,119.74,126.1,132.45,138.8,145.15,151.5,157.86,164.21,170.56,176.91,183.26,189.62,195.97,202.32,208.67,215.02,221.38,227.73,234.08,240.43,144.87,149.99,155.1,160.22,165.34,170.45,175.57,180.68
-20,-13.65,-7.3,-0.94,5.41,11.76,18.11,24.46,30.82,37.17,43.52,49.87,56.22,62.58,68.93,75.28,81.63,87.98,94.34,100.69,107.04,113.39,119.74,126.1,132.45,138.8,145.15,151.5,157.86,164.21,170.56,176.91,183.26,189.62,195.97,202.32,208.67,215.02,221.38,227.73,234.08,240.43,246.78,149.99,155.1,160.22,165.34,170.45,175.57,180.68
-20,-13.65,-7.3,-0.94,5.41,11.76,18.11,24.46,30.82,37.17,43.52,49.87,56.22,62.58,68.93,75.28,81.63,87.98,94.34,100.69,107.04,113.39,119.74,126.1,132.45,138.8,145.15,151.5,157.86,164.21,170.56,176.91,183.26,189.62,195.97,202.32,208.67,215.02,221.38,227.73,234.08,240.43,246.78,253.14,155.1,160.22,165.34,170.45,175.57,180.68
